Herbs,Drugs,
Arjuna,Acetaminophen,arjuna|acetaminophen
Arjuna,Amitriptyline,arjuna|amitriptyline
Arjuna,Caffeine,arjuna|caffeine
Arjuna,Clomipramine,arjuna|clomipramine
Arjuna,Clozapine,arjuna|clozapine
Arjuna,Cyclobenzaprine,arjuna|cyclobenzaprine
Arjuna,Doxepin,arjuna|doxepin
Arjuna,Duloxetine,arjuna|duloxetine
Arjuna,Estradiol,arjuna|estradiol
Arjuna,Fluvoxamine,arjuna|fluvoxamine
Arjuna,Haloperidol,arjuna|haloperidol
Arjuna,Imipramine,arjuna|imipramine
Arjuna,Mexiletine,arjuna|mexiletine
Arjuna,Nabumetone,arjuna|nabumetone
Arjuna,Naproxen,arjuna|naproxen
Arjuna,Olanzapine,arjuna|olanzapine
Arjuna,Ondansetron,arjuna|ondansetron
Arjuna,Phenacetin,arjuna|phenacetin
Arjuna,Pirfenidone,arjuna|pirfenidone
Arjuna,Propranolol,arjuna|propranolol
Arjuna,Riluzole,arjuna|riluzole
Arjuna,Rucaparib,arjuna|rucaparib
Arjuna,Tacrine,arjuna|tacrine
Arjuna,Theophylline,arjuna|theophylline
Arjuna,Tizanidine,arjuna|tizanidine
Arjuna,Triamterene,arjuna|triamterene
Arjuna,Verapamil,arjuna|verapamil
Arjuna,Warfarin,arjuna|warfarin
Arjuna,Zileuton,arjuna|zileuton
Arjuna,Zolmitriptan,arjuna|zolmitriptan
Arjuna,Amiodarone,arjuna|amiodarone
Arjuna,Carvedilol,arjuna|carvedilol
Arjuna,Fluvastatin,arjuna|fluvastatin
Arjuna,Amodiaquine,arjuna|amodiaquine
Arjuna,Chloroquine,arjuna|chloroquine
Arjuna,Clenbuterol,arjuna|clenbuterol
Arjuna,Daunorubicin,arjuna|daunorubicin
Arjuna,Debrisoquine,arjuna|debrisoquine
Arjuna,Flutamide,arjuna|flutamide
Arjuna,Nicotine,arjuna|nicotine
Arjuna,Omeprazole,arjuna|omeprazole
Arjuna,Progesterone,arjuna|progesterone
Arjuna,Testosterone,arjuna|testosterone
Arjuna,Toremifene,arjuna|toremifene
Arjuna,Erlotinib,arjuna|erlotinib
Arjuna,Pentamidine,arjuna|pentamidine
Arjuna,Tretinoin,arjuna|tretinoin
Arjuna,Dasatinib,arjuna|dasatinib
Arjuna,Clonidine,arjuna|clonidine
Arjuna,Banoxantrone,arjuna|banoxantrone
Arjuna,Lorcaserin,arjuna|lorcaserin
Arjuna,Gefitinib,arjuna|gefitinib
Arjuna,Dapagliflozin,arjuna|dapagliflozin
Arjuna,Romidepsin,arjuna|romidepsin
Arjuna,Riociguat,arjuna|riociguat
Arjuna,Perospirone,arjuna|perospirone
Arjuna,Indirubin,arjuna|indirubin
Arjuna,Triclabendazole,arjuna|triclabendazole
Arjuna,Loratadine,arjuna|loratadine
Arjuna,Solifenacin,arjuna|solifenacin
Arjuna,Istradefylline,arjuna|istradefylline
Arjuna,Difloxacin,arjuna|difloxacin
Chandraprabha Vati,Amitriptyline,chandraprabha vati|amitriptyline
Chandraprabha Vati,Capecitabine,chandraprabha vati|capecitabine
Chandraprabha Vati,Celecoxib,chandraprabha vati|celecoxib
Chandraprabha Vati,Diclofenac,chandraprabha vati|diclofenac
Chandraprabha Vati,Doxepin,chandraprabha vati|doxepin
Chandraprabha Vati,Fluoxetine,chandraprabha vati|fluoxetine
Chandraprabha Vati,Fluvastatin,chandraprabha vati|fluvastatin
Chandraprabha Vati,Glibenclamide,chandraprabha vati|glibenclamide
Chandraprabha Vati,Glimepiride,chandraprabha vati|glimepiride
Chandraprabha Vati,Glipizide,chandraprabha vati|glipizide
Chandraprabha Vati,Glyburide,chandraprabha vati|glyburide
Chandraprabha Vati,Ibuprofen,chandraprabha vati|ibuprofen
Chandraprabha Vati,Irbesartan,chandraprabha vati|irbesartan
Chandraprabha Vati,Lesinurad,chandraprabha vati|lesinurad
Chandraprabha Vati,Lornoxicam,chandraprabha vati|lornoxicam
Chandraprabha Vati,Losartan,chandraprabha vati|losartan
Chandraprabha Vati,Meloxicam,chandraprabha vati|meloxicam
Chandraprabha Vati,Nateglinide,chandraprabha vati|nateglinide
Chandraprabha Vati,Phenytoin,chandraprabha vati|phenytoin
Chandraprabha Vati,Piroxicam,chandraprabha vati|piroxicam
Chandraprabha Vati,Rosiglitazone,chandraprabha vati|rosiglitazone
Chandraprabha Vati,S-Warfarin,chandraprabha vati|s-warfarin
Chandraprabha Vati,Tamoxifen,chandraprabha vati|tamoxifen
Chandraprabha Vati,Tolbutamide,chandraprabha vati|tolbutamide
Chandraprabha Vati,Valproic Acid,chandraprabha vati|valproic acid
Chandraprabha Vati,Venlafaxine,chandraprabha vati|venlafaxine
Chandraprabha Vati,Voriconazole,chandraprabha vati|voriconazole
Chandraprabha Vati,Zafirlukast,chandraprabha vati|zafirlukast
Chandraprabha Vati,Amiodarone,chandraprabha vati|amiodarone
Chandraprabha Vati,Clopidogrel,chandraprabha vati|clopidogrel
Chandraprabha Vati,Fluconazole,chandraprabha vati|fluconazole
Chandraprabha Vati,Carbamazepine,chandraprabha vati|carbamazepine
Chandraprabha Vati,Rifampin,chandraprabha vati|rifampin
Passion flower,Lorazepam,passion flower|lorazepam
Peppermint,Felodipine,peppermint|felodipine
Prickly pear cactus,Glipizide,prickly pear cactus|glipizide
Prickly pear cactus,Metformin,prickly pear cactus|metformin
Psyllium,Lithium,psyllium|lithium
Punarnava,Gentamicin,punarnava|gentamicin
Punarnava,Cisplatin,punarnava|cisplatin
Punarnava,Paracetamol,punarnava|paracetamol
Rosemary,Anxiolytics,rosemary|anxiolytics
Rosemary,Antibiotics,rosemary|antibiotics
Rosemary,Warfarin,rosemary|warfarin
Saffron,SSRIs,saffron|ssris
Saffron,Antihypertensives,saffron|antihypertensives
Saffron,Fertility Agents,saffron|fertility agents
Sarpagandha,Digoxin,sarpagandha|digoxin
Sarpagandha,Levodopa,sarpagandha|levodopa
Sarpagandha,Amlodipine,sarpagandha|amlodipine
Sarpagandha,Phenelzine,sarpagandha|phenelzine
Sarpagandha,Haloperidol,sarpagandha|haloperidol
Sarpagandha,Glimepiride,sarpagandha|glimepiride
Sarpagandha,Epinephrine,sarpagandha|epinephrine
Sarpagandha,Warfarin,sarpagandha|warfarin
Senna,Thiazide Diuretics,senna|thiazide diuretics
